anchor,n,mean_sd,median_sd
0.1,446,0.01017143816019317,0.009620271270498986
0.3,3059,0.012754087331247391,0.011341455490200006
0.5,3638,0.015599383730082458,0.013727993017126912
0.7,840,0.01637877510468832,0.01551473979328467
0.9,86,0.01707792554306515,0.016918525666453788
